Key	Korean	English
Shell.MainAction.ReadyBadge	준비	Ready
Shell.MainAction.ImageReadyTitle	이미지 준비됨	Image ready
Shell.MainAction.ImageReadyDetail	다음: 도구 선택 -> 미리보기 실행/확인 -> 파이프라인 추가	Next: select a tool -> run/check preview -> add to pipeline
Shell.MainAction.ImageReadyRoute	도구 선택 -> 미리보기 실행/확인	Select tool -> run/check preview
Shell.MainAction.ImageReadyStatus	파이프라인 추가 가능	Pipeline can be added
Shell.WorkspaceStatus.EmptyBadge	시작	Start
Shell.WorkspaceStatus.EmptyTitle	이미지를 로드하세요	Load an image
Shell.WorkspaceStatus.EmptyRoute	이미지 로드 또는 샘플 열기	Load image or open sample
Shell.WorkspaceStatus.EmptyStatus	이미지 준비 후 도구 선택	Select a tool after image is ready
Shell.WorkspaceStatus.SampleTitle	샘플 파이프라인 준비됨	Sample pipeline ready
Shell.WorkspaceStatus.SampleRoute	Pipeline Review 열기 -> Run Review 또는 첫 Step 열기	Open Pipeline Review -> Run Review or first step
Shell.WorkspaceStatus.SampleStatus	미리보기는 수동 실행	Preview runs manually
Shell.WorkspaceEmptyStepLoadTitle	1. 이미지 준비	1. Prepare image
Shell.WorkspaceEmptyStepLoadDetail	산업 이미지나 공개 샘플을 Main 레이어에 엽니다.	Open an industrial image or public sample in the Main layer.
Shell.WorkspaceEmptyStepSelectTitle	2. 도구 설정	2. Configure tool
Shell.WorkspaceEmptyStepSelectDetail	검사 목적에 맞는 도구를 열고 PropertyGrid 값을 조정합니다.	Open the tool for the inspection goal and adjust its PropertyGrid values.
Shell.WorkspaceEmptyStepPipelineTitle	3. Pipeline 구성	3. Build pipeline
Shell.WorkspaceEmptyStepPipelineDetail	Preview로 확인한 Step을 검사 순서와 레이어 경로로 연결합니다.	Connect previewed steps in inspection order with their layer routes.
Shell.WorkspaceEmptyStepPreviewTitle	4. 결과 검증	4. Validate results
Shell.WorkspaceEmptyStepPreviewDetail	명시적으로 Run한 뒤 출력, 지표, Good/Bad 증거를 비교합니다.	Run explicitly, then compare output, metrics, and Good/Bad evidence.
Shell.WorkspaceEmptySampleButton	샘플 열기	Open Sample
Shell.WorkspaceEmptyGuideButton	Learn 열기	Open Learn
Shell.WorkspaceEmptyPipelineButton	Pipeline 열기	Open Pipeline
Shell.WorkspaceEmptyLogHint	처음이면 Learn과 공개 샘플로 익히십시오. 실제 이미지를 연 뒤에는 확대, 이동, 픽셀 값과 실행 로그로 근거를 확인합니다.	Start with Learn and public samples. For real images, use zoom, pan, pixel values, and the Run Log to inspect the evidence.
Shell.WorkspaceFitImage	이미지 맞춤	Fit Image
Shell.WorkspaceSaveImage	이미지 저장	Save Image
VisionTool.Verification.PreviewNotRun	미리보기 전	Preview not run
VisionTool.Verification.RunPreview	미리보기 실행	Run Preview
VisionTool.Verification.AddToPipeline	파이프라인 추가	Add to Pipeline
VisionTool.Verification.CheckResultThenAddPipeline	결과 확인 후 파이프라인 추가	Check the result, then add to pipeline
VisionTool.Verification.AdjustAreaThreshold	이진화/면적/ROI 조정	Adjust threshold, area, or ROI
VisionTool.Verification.AdjustRoiContrastScan	ROI/대비/스캔 설정 조정	Adjust ROI, contrast, or scan settings
VisionTool.Verification.HeaderFormat	{0} 검증	{0} verification
VisionTool.Verification.NextActionFormat	다음: {0}	Next: {0}
VisionTool.Verification.CompactGuideFormat	{0} / {1} / {2} / {3}	{0} / {1} / {2} / {3}
VisionTool.Verification.ResultGuidanceFormat	{0} / 합격 기준: {1} / {2} / 다음: {3}	{0} / Criteria: {1} / {2} / Next: {3}
VisionTool.Verification.AreaSuccessReasonFormat	검출 {0}개 / 최대 면적 {1:0.#}	Count {0}, max area {1:0.#}.
VisionTool.Verification.AreaFailureReason	현재 면적/이진화 기준을 통과한 결과 없음	No result passed the current area/threshold criteria.
VisionTool.AreaReview.BoxFormat	최대 박스 {0:0.#}x{1:0.#}	Max box {0:0.#}x{1:0.#}.
VisionTool.AreaReview.BlobSuccessHint	블랍 면적/이진화/ROI 기준을 통과했습니다. 영역 개수와 최대 면적을 확인하세요.	Blob area/threshold/ROI criteria passed; check region count and largest area.
VisionTool.AreaReview.ContourSuccessHint	컨투어 면적/이진화/ROI 기준을 통과했습니다. 외곽선과 개수를 확인하세요.	Contour area/threshold/ROI criteria passed; check object outline and count.
VisionTool.AreaReview.SuccessHint	면적/이진화/ROI 기준을 통과했습니다. 영역 개수와 최대 면적을 확인하세요.	Area/threshold/ROI criteria passed; check region count and largest area.
VisionTool.AreaReview.MultipleCandidateRisk	여러 영역이 통과했습니다. 의도와 다르면 ROI를 좁히거나 면적/이진화 기준을 조정하세요.	Multiple regions passed; if this is not expected, narrow the ROI or tighten area/threshold limits.
VisionTool.AreaReview.BlobFailureCause	원인 후보: 이진화 범위, ROI, 면적 제한, 마스킹, 모폴로지 크기를 확인하세요.	Cause candidates: threshold range, ROI, area limits, masking, or morphology size.
VisionTool.AreaReview.ContourFailureCause	원인 후보: 이진화 범위, ROI, 면적 제한, 컨투어 검색 방식, 약한 외곽선을 확인하세요.	Cause candidates: threshold range, ROI, area limits, retrieval mode, or weak object boundary.
VisionTool.AreaReview.FailureCause	원인 후보: 이진화 범위, ROI, 면적 제한, 약한 대비를 확인하세요.	Cause candidates: threshold range, ROI, area limits, or weak contrast.
VisionTool.Verification.LineEdgeReasonFormat	라인 {0}개 / 엣지점 {1}	Lines {0}, edge {1}.
VisionTool.Verification.LineEdgeFailureReason	현재 기준을 통과한 라인 엣지 없음	No line edge passed the current criteria.
VisionTool.Verification.LineDistanceReasonFormat	거리 {0:0.#} px / 검출 {1:0}개	Distance {0:0.#} px, count {1:0}.
VisionTool.Verification.LineDistanceFailureReason	거리 결과 없음	Distance not found.
VisionTool.Verification.LineIntersectionSuccessReason	교차점 발견	Intersection cross found.
VisionTool.Verification.LineIntersectionFailureReason	교차점 없음	Intersection cross not found.
VisionTool.Verification.PreviewNotRunCurrentParameters	미리보기 전 / 현재 파라미터 확인은 미리보기 실행	Preview not run / Run Preview to verify current parameters.
VisionTool.Verification.PreviewNotRunCurrentRoute	미리보기 전 / 현재 입력과 출력 레이어 확인은 미리보기 실행	Preview not run / Run Preview to verify the current input and output layer.
VisionTool.Verification.TeachingStateFormat	{0} 설정 확인	{0} teaching
VisionTool.Verification.ResultStateFormat	{0} 결과 / {1}	{0} result / {1}
VisionTool.Verification.AreaCriteriaFormat	면적 {0}-{1} / {2} / {3} / {4}	Area {0}-{1} / {2} / {3} / {4}
VisionTool.Verification.ThresholdFormat	이진화 {0:0.#}	T {0:0.#}
VisionTool.Verification.LineCriteriaFormat	{0} {1} / 대비 {2:0.#} / 간격 {3:0.#} / {4}	{0} {1} / C{2:0.#} / S{3:0.#} / {4}
VisionTool.Review.ResultNotRun	결과 대기	Result not run
VisionTool.Review.Label.Decision	판정	Decision
VisionTool.Review.Label.Criteria	기준	Criteria
VisionTool.Review.Label.Count	검출	Count
VisionTool.Review.Label.State	상태	State
VisionTool.Review.Label.MaxArea	최대 면적	Max area
VisionTool.Review.Label.Center	중심	Center
VisionTool.Review.Label.Box	박스	Box
VisionTool.Review.Label.Score	점수	Score
VisionTool.Review.Label.Angle	각도	Angle
VisionTool.Review.Label.Scale	배율	Scale
VisionTool.Review.Label.Tact	처리	Tact
VisionTool.Review.Label.Mean	평균	Mean
VisionTool.Review.Label.Range	범위	Range
VisionTool.Review.Label.Type	방식	Type
VisionTool.Review.Label.Pixels	픽셀	Pixels
VisionTool.Review.Label.Input	입력	Input
VisionTool.Review.Label.Output	출력	Output
VisionTool.Review.Label.Contrast	대비	Contrast
VisionTool.Review.Label.Distance	거리	Distance
VisionTool.Review.Label.Length	길이	Length
VisionTool.Review.Label.Lines	라인	Lines
VisionTool.Review.Label.Edge	엣지	Edge
VisionTool.Review.Label.Point	점	Point
VisionTool.Review.Label.Cross	교차	Cross
VisionTool.Review.Label.Mm	mm	mm
VisionTool.Review.NoResult	결과 없음	no result
VisionTool.Review.NoBlob	블랍 없음	no blob
VisionTool.Review.NoContour	컨투어 없음	no contour
VisionTool.Review.NoMatch	매칭 없음	no match
VisionTool.Review.NoEdge	엣지 없음	no edge
VisionTool.Review.NeedPair	라인 2개 필요	need pair
VisionTool.Review.CrossYes	예	Yes
VisionTool.Review.CrossNo	아니오	No
VisionTool.Review.FullImage	전체 이미지	Full image
VisionTool.Review.RoiOn	ROI 사용	ROI on
VisionTool.Review.MultiRoi	다중 ROI	Multi ROI
VisionTool.Review.ThresholdOff	이진화 꺼짐	T off
VisionTool.Review.MaskOn	마스크 사용	Mask on
VisionTool.Review.MaskOff	마스크 꺼짐	Mask off
VisionTool.Review.AngleOn	각도 탐색 사용	Angle on
VisionTool.Review.AngleOff	각도 탐색 꺼짐	Angle off
VisionTool.Review.ScaleOn	배율 탐색 사용	Scale on
VisionTool.Review.ScaleOff	배율 탐색 꺼짐	Scale off
VisionTool.Review.PyramidOn	피라미드 사용	Pyramid on
VisionTool.Review.OriginalImage	원본	Original
VisionTool.Verification.AdaptiveThresholdFormat	적응형 {0:0.#}	Adaptive {0:0.#}
VisionTool.TemplateStatus.ReadyFormat	템플릿 준비 / {0}	Template ready / {0}
VisionTool.TemplateStatus.MissingFormat	템플릿 파일 없음 / {0}	Template file missing / {0}
VisionTool.TemplateStatus.NotSelected	템플릿 미선택	Template not selected
VisionTool.Review.FeatureRatioCriteriaFormat	Ratio <= {0:0.###}	Ratio <= {0:0.###}
VisionTool.Review.RansacCriteriaFormat	RANSAC {0:0.#}	RANSAC {0:0.#}
VisionTool.Line.PurposeLabel	목적	Purpose
VisionTool.Line.SettingLabel	라인	Setting
VisionTool.Line.Purpose.Edge	엣지	Edge
VisionTool.Line.Purpose.Measure	측정	Measure
VisionTool.Line.Purpose.Intersection	교차	Intersection
VisionTool.Line.LineA	Line A	Line A
VisionTool.Line.LineB	Line B	Line B
VisionTool.Line.EditSelectedRoiToolTip	선택 라인 ROI 편집	Edit selected line ROI
VisionTool.Line.Purpose.EdgeHint	선택 라인의 엣지점과 피팅 라인 안정성을 확인합니다.	Edge points and fitted line stability for the selected line
VisionTool.Line.Purpose.MeasureHint	Line A 스캔 라인과 Line B 엣지 교차 거리 측정입니다.	Line A scan lines to Line B edge intersections
VisionTool.Line.Purpose.IntersectionHint	Line A와 Line B 피팅 라인의 교차점을 확인합니다.	Intersection point from Line A and Line B fit-line crossing
VisionTool.Review.ScoreThresholdLabel	점수 >=	Score >=
VisionTool.Review.AreaSummaryFormat	{0} / 검출 {1}개 / 최대 면적 {2:0.#} / 중심 {3:0.#},{4:0.#} / 박스 {5:0.#}x{6:0.#}	{0} / Count {1} / Max area {2:0.#} / Center {3:0.#},{4:0.#} / Box {5:0.#}x{6:0.#}
VisionTool.Review.AreaEmptySummaryFormat	{0} / 검출 0개 / {1}	{0} / Count 0 / {1}
VisionTool.Review.MeanSummaryFormat	Mean / 평균 {0:0.0} / 범위 {1} / 검출 {2}개	Mean / Avg {0:0.0} / Range {1} / Count {2}
VisionTool.Review.HsvSummaryFormat	HSV / 선택 {0:0.0}% / {1}	HSV / Selected {0:0.0}% / {1}
VisionTool.Review.HistogramSummaryFormat	Histogram / {0} / 평균 {1:0.0}->{2:0.0} / 대비 {3:0.0}->{4:0.0}	Histogram / {0} / Mean {1:0.0}->{2:0.0} / Contrast {3:0.0}->{4:0.0}
VisionTool.Review.MatchCountCriteriaFormat	매칭 {0}개	Match {0}
VisionTool.Review.CannyCriteriaFormat	Canny {0}	Canny {0}
VisionTool.Review.SearchCriteriaFormat	탐색 {0}	Search {0}
VisionTool.Review.PointsCriteriaFormat	포인트 {0}	Points {0}
VisionTool.Review.MatchingSummaryFormat	{0} / 검출 {1}개 / 점수 {2:0.000} / 중심 {3:0.#},{4:0.#} / 박스 {5:0.#}x{6:0.#} / 각도 {7:0.###}{8}{9}	{0} / Count {1} / Score {2:0.000} / Center {3:0.#},{4:0.#} / Box {5:0.#}x{6:0.#} / Angle {7:0.###}{8}{9}
VisionTool.Review.MatchingEmptySummaryFormat	{0} / 검출 0개 / 매칭 없음	{0} / Count 0 / no match
VisionTool.Review.LineEdgeEmptySummary	엣지 / 검출 0개 / 엣지 없음	Edge / Count 0 / no edge
VisionTool.Review.LineDistanceEmptySummary	측정 / 거리 없음 / 검출 0개	Measure / Distance none / Count 0
VisionTool.Review.LineDistanceSummaryWithMmFormat	측정 / 거리 {0:0.#} px / {1:0.###} mm / 검출 {2:0}개	Measure / Distance {0:0.#} px / {1:0.###} mm / Count {2:0}
VisionTool.Review.LineDistanceSummaryFormat	측정 / 거리 {0:0.#} px / 검출 {1:0}개	Measure / Distance {0:0.#} px / Count {1:0}
VisionTool.Review.LineIntersectionSummaryFormat	교차 / 점 {0:0},{1:0} / 교차 {2} / 엣지 {3:0}	Intersection / Point {0:0},{1:0} / Cross {2} / Edge {3:0}
VisionTool.Review.LineIntersectionNoCrossSummaryFormat	교차 / 교차 아니오 / 엣지 {0:0}	Intersection / Cross No / Edge {0:0}
VisionTool.Review.LineMeasureSummaryFormat	측정 / 길이 {0:0.#} px / {1:0.###} mm / 각도 {2:0.#} deg	Measure / Length {0:0.#} px / {1:0.###} mm / Angle {2:0.#} deg
VisionTool.Review.LineEdgeSummaryFormat	엣지 / 라인 {0}개 / 엣지 {1} / 길이 {2:0.#}	Edge / Count {0} / Edge {1} / Length {2:0.#}
VisionTool.Review.LineNeedPairSummaryFormat	교차 / 라인 2개 필요 / 엣지 {0}	Intersection / Need pair / Edge {0}
VisionTool.MatchingGuide.Header	검증 흐름	Verification Flow
VisionTool.MatchingGuide.EdgeHeader	엣지 매칭 검증	Edge Match Verification
VisionTool.MatchingGuide.FeatureHeader	특징 매칭 검증	Feature Match Verification
VisionTool.MatchingGuide.ReadyState	상태: 템플릿 준비 / 미리보기 실행 가능	State: template ready / preview available
VisionTool.MatchingGuide.EdgeReadyState	상태: 템플릿 준비 / 엣지 후보 검증 대기	State: template ready / waiting for edge candidate verification
VisionTool.MatchingGuide.FeatureReadyState	상태: 템플릿 준비 / 특징점 후보 검증 대기	State: template ready / waiting for feature candidate verification
VisionTool.MatchingGuide.NotReadyState	상태: 템플릿 필요 / 미리보기 전 준비 필요	State: template required / prepare before preview
VisionTool.MatchingGuide.EdgeNotReadyState	상태: 템플릿 필요 / 패턴 경로 등록 필요	State: template required / register a pattern path
VisionTool.MatchingGuide.FeatureNotReadyState	상태: 특징 템플릿 필요 / 패턴 경로 등록 필요	State: feature template required / register a pattern path
VisionTool.MatchingGuide.ReadyNext	입력/출력 레이어를 확인하고 미리보기 실행	Check input/output layers and run preview
VisionTool.MatchingGuide.EdgeReadyNext	미리보기 실행 후 엣지 박스와 출력 레이어 확인	Run preview, then check edge boxes and the output layer
VisionTool.MatchingGuide.FeatureReadyNext	미리보기 실행 후 특징 박스와 출력 레이어 확인	Run preview, then check feature boxes and the output layer
VisionTool.MatchingGuide.NotReadyNext	패턴 경로에서 템플릿을 등록한 뒤 미리보기 실행	Register a template from the pattern path, then run preview
VisionTool.MatchingGuide.EdgeNotReadyNext	패턴 경로에서 템플릿을 등록한 뒤 미리보기 실행	Register a template from the pattern path, then run preview
VisionTool.MatchingGuide.FeatureNotReadyNext	패턴 경로에서 특징 템플릿을 등록한 뒤 미리보기 실행	Register a feature template from the pattern path, then run preview
VisionTool.MatchingGuide.DecisionStateFormat	상태: {0}	State: {0}
VisionTool.MatchingGuide.CompactStateFormat	{0} / {1}	{0} / {1}
VisionTool.MatchingGuide.CriteriaFallback	합격 기준: 결과 위치와 오버레이 확인	Pass criteria: check result position and overlay
VisionTool.MatchingGuide.EdgeCriteriaFallback	합격 기준: 엣지 박스, 점수, 출력 레이어 확인	Pass criteria: check edge boxes, score, and output layer
VisionTool.MatchingGuide.FeatureCriteriaFallback	합격 기준: 특징점 기하와 출력 레이어 확인	Pass criteria: check feature geometry and output layer
VisionTool.MatchingGuide.CriteriaFormat	합격 기준: {0}	Pass criteria: {0}
VisionTool.MatchingGuide.NextActionFormat	다음: {0}	Next: {0}
VisionTool.MatchingGuide.SuccessNext	결과 박스와 출력 레이어를 확인한 뒤 파이프라인에 추가	Check result boxes and the output layer, then add to pipeline
